,conf_type,value,filename
110,FN,3.4260000000000126,2007_Mutoray_Dmitriev_LO1-0-1
111,FP,30.45940000000001,2007_Mutoray_Dmitriev_LO1-0-1
112,TN,17.935999999999993,2007_Mutoray_Dmitriev_LO1-0-1
113,TP,8.178999999999984,2007_Mutoray_Dmitriev_LO1-0-1
114,FN,0.4680000000000035,2007_Mutoray_Yastrikova_FSk2-2-0
115,FP,33.7534,2007_Mutoray_Yastrikova_FSk2-2-0
116,TN,14.153999999999998,2007_Mutoray_Yastrikova_FSk2-2-0
117,TP,11.625,2007_Mutoray_Yastrikova_FSk2-2-0
118,FN,1.1279999999999575,2007_Chirinda_Eldogir_Valentina_LR1-1-14
119,FP,30.872400000000063,2007_Chirinda_Eldogir_Valentina_LR1-1-14
120,TN,16.27800000000002,2007_Chirinda_Eldogir_Valentina_LR1-1-14
121,TP,11.721999999999955,2007_Chirinda_Eldogir_Valentina_LR1-1-14
122,FN,1.4790000000000703,2007_Chirinda_Eldogir_Valentina_FSk8-2-9
123,FP,30.6664,2007_Chirinda_Eldogir_Valentina_FSk8-2-9
124,TN,15.846999999999916,2007_Chirinda_Eldogir_Valentina_FSk8-2-9
125,TP,12.008000000000013,2007_Chirinda_Eldogir_Valentina_FSk8-2-9
126,FN,5.032000000000025,2008_Kislokan_Udygir_Valentina_FM-2-0
127,FP,15.8504,2008_Kislokan_Udygir_Valentina_FM-2-0
128,TN,31.213999999999977,2008_Kislokan_Udygir_Valentina_FM-2-0
129,TP,7.903999999999996,2008_Kislokan_Udygir_Valentina_FM-2-0
130,FN,3.60799999999999,2007_Chirinda_Eldogir_Valentina_FM3-1-0
131,FP,27.3274,2007_Chirinda_Eldogir_Valentina_FM3-1-0
132,TN,17.462000000000007,2007_Chirinda_Eldogir_Valentina_FM3-1-0
133,TP,11.603000000000002,2007_Chirinda_Eldogir_Valentina_FM3-1-0
134,FN,2.02700000000004,2007_Strelka_Andreev_LR3-0-14
135,FP,23.26439999999999,2007_Strelka_Andreev_LR3-0-14
136,TN,23.646999999999952,2007_Strelka_Andreev_LR3-0-14
137,TP,11.062000000000015,2007_Strelka_Andreev_LR3-0-14
138,FN,3.1200000000000028,Parents-1-1
139,FP,9.639999999999999,Parents-1-1
140,TN,7.7940000000000005,Parents-1-1
141,TP,3.379999999999999,Parents-1-1
142,FN,11.98,2008_Tutonchany_Uvachan_Inna_LAv1-1-1
143,FP,13.025400000000001,2008_Tutonchany_Uvachan_Inna_LAv1-1-1
144,TN,12.849999999999998,2008_Tutonchany_Uvachan_Inna_LAv1-1-1
145,TP,22.145,2008_Tutonchany_Uvachan_Inna_LAv1-1-1
146,FN,2.152999999999998,Mother-0-1
147,FP,11.756200000000007,Mother-0-1
148,TN,1.8849999999999998,Mother-0-1
149,TP,14.205999999999996,Mother-0-1
